record_id,source_dataset,source_sheet,title,abstract,year,doi,label_original,label_canonica,canonical_id,mapping_status,mapping_notes,review_required,include_in_gold,title_normalized,doi_normalized,abstract_hash,methodology_label,methodology_branch,methodology_subtype,methodology_review_required,methodology_review_reason,author_keywords,index_keywords,keywords_available,keywords_applied,text_input,methodology_text_variant,methodology_empirical_score,methodology_non_empirical_score,methodology_qualitative_score,methodology_quantitative_score,methodology_signal_terms
seed:Clasificados:7,seed,Clasificados,How can governance change research content? Linking science policy studies to the sociology of science,"Although science studies routinely assume that governance can change research content, we know little about how it does that. Science policy actors, commercial interests and civil society actors utilise a variety of governance instruments and processes to change the directions or to improve the quality of research. Both can be achieved only by making researchers select different goals and approaches, that is, change the content of their work.
A recent review returned very few studies that investigated the impact of governance on research content and even fewer that convincingly established causality (Gläser and Laudel 2016). Empirical studies of competitive project funding focused on the validity and reliability of selection procedures and largely shunned the investigation of pre-emptive adaptation of project content or effects of selective funding on the dynamics of research fields (ibid: 122–125). The governance of emerging fields has been studied with the fields’ growth as the only dependent variable approximating content (ibid: 126–129). Most studies of the effects of performance-based funding limit themselves to changes in publication behaviour, whose causal ascription to performance-based funding can charitably be described as tenuous (ibid: 129–134; Gläser 2017). Finally, studies of academy–industry links have produced some interesting results on the impact of such links on the diffusion of knowledge (Evans 2010a; b) and on the increased likelihood of findings that are consistent with an industrial funder’s interests (Krimsky 2013) and on the impact of such links on the diffusion of knowledge (Evans 2010a; b). However, the empirical evidence of many studies is contradictory, which has led to a call for more in-depth studies of academy–industry links (Krimsky 2013). Most of these findings do not lend themselves to theoretical generalisation because they draw on specific cases in particular fields. More importantly, theoretical progress cannot be achieved with the current implicit division of labour between subfields of science studies. Science policy",2019,,Tipo 5 CM ,Tipo 5 - Constructivismo moderado,tipo_5_constructivismo_moderado,directo,Approved direct legacy label for the canonical Arbor contract.,False,True,how can governance change research content linking science policy studies to the sociology of science,,e9c3d5bd7ec740e082aa4dcf9975708d8f2cf62693b8005eec40499e104330d0,,,,True,conflicting_cues,,,False,False,"Although science studies routinely assume that governance can change research content, we know little about how it does that. Science policy actors, commercial interests and civil society actors utilise a variety of governance instruments and processes to change the directions or to improve the quality of research. Both can be achieved only by making researchers select different goals and approaches, that is, change the content of their work.
A recent review returned very few studies that investigated the impact of governance on research content and even fewer that convincingly established causality (Gläser and Laudel 2016). Empirical studies of competitive project funding focused on the validity and reliability of selection procedures and largely shunned the investigation of pre-emptive adaptation of project content or effects of selective funding on the dynamics of research fields (ibid: 122–125). The governance of emerging fields has been studied with the fields’ growth as the only dependent variable approximating content (ibid: 126–129). Most studies of the effects of performance-based funding limit themselves to changes in publication behaviour, whose causal ascription to performance-based funding can charitably be described as tenuous (ibid: 129–134; Gläser 2017). Finally, studies of academy–industry links have produced some interesting results on the impact of such links on the diffusion of knowledge (Evans 2010a; b) and on the increased likelihood of findings that are consistent with an industrial funder’s interests (Krimsky 2013) and on the impact of such links on the diffusion of knowledge (Evans 2010a; b). However, the empirical evidence of many studies is contradictory, which has led to a call for more in-depth studies of academy–industry links (Krimsky 2013). Most of these findings do not lend themselves to theoretical generalisation because they draw on specific cases in particular fields. More importantly, theoretical progress cannot be achieved with the current implicit division of labour between subfields of science studies. Science policy",abstract_plus_keywords,1,1,0,0,empirical | theoretical
seed:Clasificados:12,seed,Clasificados,"Meaning at the Planck scale? Contextualized word embeddings for doing history, philosophy, and sociology of science","This paper explores the potential of contextualized word embeddings (CWEs) as a new tool in the history, philosophy, and sociology of science (HPSS) for studying contextual and evolving meanings of scientific concepts. Using the term"" Planck"" as a test case, I evaluate five BERT-based models with varying degrees of domain-specific pretraining, including my custom model Astro-HEP-BERT, trained on the Astro-HEP Corpus, a dataset containing 21.84 million paragraphs from 600,000 articles in astrophysics and high-energy physics. For …",2024,,Tipo 3 AE,Tipo 3 - Antirrealismo epistemologico,tipo_3_antirrealismo_epistemologico,directo,Approved direct legacy label for the canonical Arbor contract.,False,True,meaning at the planck scale contextualized word embeddings for doing history philosophy and sociology of science,,24b86ed6d9f5203e46476175ac970544cfbe7bb0f8adcb9781d1bf7824fef82b,empirico,empirico,,True,insufficient_evidence,,,False,False,"This paper explores the potential of contextualized word embeddings (CWEs) as a new tool in the history, philosophy, and sociology of science (HPSS) for studying contextual and evolving meanings of scientific concepts. Using the term"" Planck"" as a test case, I evaluate five BERT-based models with varying degrees of domain-specific pretraining, including my custom model Astro-HEP-BERT, trained on the Astro-HEP Corpus, a dataset containing 21.84 million paragraphs from 600,000 articles in astrophysics and high-energy physics. For …",abstract_plus_keywords,1,0,0,0,dataset
seed:Clasificados:18,seed,Clasificados,Towards a Sociology of Science and Theology,"The empirical focus of the chapter is senior church leaders’ views on science and religion. I draw on this body of work to illustrate how my Science and Technology Studies (STS) approach leads to what can be thought of as a sociology of science and theology which I argue should have a place in the Social Study of Science and Religion. The main argument is that STS, and more specifically Sociology of Scientific Knowledge, helps scholars of science and religion to engage more fully with theoretical questions around the relationship between knowledge, practice, and ethics salient in the context of religious communities.",2024,,Tipo 5 CM ,Tipo 5 - Constructivismo moderado,tipo_5_constructivismo_moderado,directo,Approved direct legacy label for the canonical Arbor contract.,False,True,towards a sociology of science and theology,,c049481a91b1fcbc913a07f6a5cda634e7a1e0cf8489cccd75c6ce405287ea25,,,,True,conflicting_cues,,,False,False,"The empirical focus of the chapter is senior church leaders’ views on science and religion. I draw on this body of work to illustrate how my Science and Technology Studies (STS) approach leads to what can be thought of as a sociology of science and theology which I argue should have a place in the Social Study of Science and Religion. The main argument is that STS, and more specifically Sociology of Scientific Knowledge, helps scholars of science and religion to engage more fully with theoretical questions around the relationship between knowledge, practice, and ethics salient in the context of religious communities.",abstract_plus_keywords,1,1,0,0,empirical | theoretical
seed:Clasificados:27,seed,Clasificados,Experimentation in the sociology of science: Representational and generative registers in the imitation game,"The 'experiment'has been a central topic in the history and sociology of science, especially since Science & Technology Studies (STS) set out to empirically study the segregated laboratory spaces where scientific experimentation takes place (Collins, 1985; Knorr-Cetina, 1981; Latour & Woolgar, 1979). Historical approaches focused on understanding how the experimental mode of knowledge production became dominant in the natural sciences, and to what effects (Shapin and Shaffer, 1985).The perception that experiments are primarily …",2019,,Tipo 4 PE,Tipo 4 - Pragmatismo epistemologico,tipo_4_pragmatismo_epistemologico,directo,Approved direct legacy label for the canonical Arbor contract.,False,True,experimentation in the sociology of science representational and generative registers in the imitation game,,876a14ea100f5ed449cb38b76ada49bb4f9b7791137b8a98d36c7932670f9156,empirico,empirico,,True,insufficient_evidence,,,False,False,"The 'experiment'has been a central topic in the history and sociology of science, especially since Science & Technology Studies (STS) set out to empirically study the segregated laboratory spaces where scientific experimentation takes place (Collins, 1985; Knorr-Cetina, 1981; Latour & Woolgar, 1979). Historical approaches focused on understanding how the experimental mode of knowledge production became dominant in the natural sciences, and to what effects (Shapin and Shaffer, 1985).The perception that experiments are primarily …",abstract_plus_keywords,2,0,0,0,empirical | experiment
seed:Clasificados:36,seed,Clasificados,"From the Problem of Genius to the Integration of Philosophy, History, and Sociology of Science: Edgar Zilsel's Life and Work Viewed in the Context of Recent …","Edgar Zilsel (1891–1944) was a typical outsider for several reasons – as a Jew, socialist, and scholar outside the university aiming at an integrated history, philosophy, and sociology of science from a materialistic point of view. His main publications and research projects in Vienna (on induction and probability, the problem of genius, philosophy in political context) and after his forced migration (on the origins of modern science and the laws of nature and history) are described and analyzed here in their diachronic and synchronic connections and contexts. Even though Zilsel’s projects were left uncompleted for largely external reasons, their underlying continuity and unity can serve as a heuristic tool for interpreting his complex life’s work. Below, a bio-bibliographical sketch of Zilsel from Vienna to the exile years in the USA (with a case study on Zilsel in Harvard 1939) is followed by a survey of research on Zilsel from the 1970s to the present. The conclusion compares Zilsel’s work before, during, and after his Vienna Circle period: despite the criticisms of and extensions to his work (esp. the “Zilsel thesis”), the relevance of his achievements and his unfinished research program stands undiminished.",2022,,Tipo 2 RM,Tipo 2 - Realismo moderado / critico,tipo_2_realismo_moderado_critico,fusionado,Approved alias merge into canonical Type 2.,False,True,from the problem of genius to the integration of philosophy history and sociology of science edgar zilsel s life and work viewed in the context of recent,,145168254d4067418540dbaf4e5114b5b77c2cd1aff96297ea8095fae70938df,empirico,empirico,,True,conflicting_cues,,,False,False,"Edgar Zilsel (1891–1944) was a typical outsider for several reasons – as a Jew, socialist, and scholar outside the university aiming at an integrated history, philosophy, and sociology of science from a materialistic point of view. His main publications and research projects in Vienna (on induction and probability, the problem of genius, philosophy in political context) and after his forced migration (on the origins of modern science and the laws of nature and history) are described and analyzed here in their diachronic and synchronic connections and contexts. Even though Zilsel’s projects were left uncompleted for largely external reasons, their underlying continuity and unity can serve as a heuristic tool for interpreting his complex life’s work. Below, a bio-bibliographical sketch of Zilsel from Vienna to the exile years in the USA (with a case study on Zilsel in Harvard 1939) is followed by a survey of research on Zilsel from the 1970s to the present. The conclusion compares Zilsel’s work before, during, and after his Vienna Circle period: despite the criticisms of and extensions to his work (esp. the “Zilsel thesis”), the relevance of his achievements and his unfinished research program stands undiminished.",abstract_plus_keywords,4,0,1,1,case study | survey
seed:Clasificados:37,seed,Clasificados,What makes a good PhD thesis? Norms of science as reflected in written assessments of PhD theses,"This study looks at assessment of PhD theses from two perspectives: criteria in use in assessment reports at a science faculty and norms of science. Fifty assessment reports were analysed inductively, resulting in thirteen categories that examiners consider when assessing a thesis. These categories were compared with norms of science as described in the sociology of science. The study shows a high congruence between the two perspectives, but also new categories worthy of further discussion and research. Relevance of the thesis research and quality by proxy (that publication is an indicator of quality) stand out very clearly in this study compared with earlier assessment research. These two categories are both relatively new categories in assessment research and indicate that the classical norms of science are changing with an increasing influence of post-academic norms in academia.",2023,,Tipo 2 RM,Tipo 2 - Realismo moderado / critico,tipo_2_realismo_moderado_critico,fusionado,Approved alias merge into canonical Type 2.,False,True,what makes a good phd thesis norms of science as reflected in written assessments of phd theses,,42a11e03aca23f296ab854382659e163fa35e590fd8a7f31efa66c56b22e1bc8,,,,True,conflicting_cues,,,False,False,"This study looks at assessment of PhD theses from two perspectives: criteria in use in assessment reports at a science faculty and norms of science. Fifty assessment reports were analysed inductively, resulting in thirteen categories that examiners consider when assessing a thesis. These categories were compared with norms of science as described in the sociology of science. The study shows a high congruence between the two perspectives, but also new categories worthy of further discussion and research. Relevance of the thesis research and quality by proxy (that publication is an indicator of quality) stand out very clearly in this study compared with earlier assessment research. These two categories are both relatively new categories in assessment research and indicate that the classical norms of science are changing with an increasing influence of post-academic norms in academia.",abstract_plus_keywords,1,1,0,0,perspective | this study
seed:Clasificados:61,seed,Clasificados,Reflexive methodology and the empirical theory of science,"»Reflexive Methodologie und die empirische Wissenschaftstheorie«. Inspired by hermeneutics tradition, qualitative as well as quantitative social research has realized that the subject matter of the social sciences is always interpreted by the actors studied. Social studies of science have also demonstrated that science itself depends on preinterpreted knowledge. In recent decades, it therefore became increasingly clear that any scientific methodology needs to account for the positionality of researchers and their methodology. In addition to the abstract armchair methodologies of scientific “reasoning,” reflexive methodology has been proposed as an approach to empirical study of more than just the procedures and methods of the very researchers who are doing research, such as the videography of videography. It is one goal of this paper to stress that reflexive methodology is not a self-contained method describing and analyzing the practical methodology of one’s action. To the degree that the analysis of the “real live” method is intended to guide research, reflexive methodology has also normative implications. As these normative implications have been referred to by the label theory of science, the second goal of this presentation is to delineate the idea of empirical theory of science.",2021,,Tipo 5 CM ,Tipo 5 - Constructivismo moderado,tipo_5_constructivismo_moderado,directo,Approved direct legacy label for the canonical Arbor contract.,False,True,reflexive methodology and the empirical theory of science,,94e63eca2f0720c6416f5be13a1cfc9ce393aecab7b42e49700edede0e32478a,empirico,empirico,,True,conflicting_cues,,,False,False,"»Reflexive Methodologie und die empirische Wissenschaftstheorie«. Inspired by hermeneutics tradition, qualitative as well as quantitative social research has realized that the subject matter of the social sciences is always interpreted by the actors studied. Social studies of science have also demonstrated that science itself depends on preinterpreted knowledge. In recent decades, it therefore became increasingly clear that any scientific methodology needs to account for the positionality of researchers and their methodology. In addition to the abstract armchair methodologies of scientific “reasoning,” reflexive methodology has been proposed as an approach to empirical study of more than just the procedures and methods of the very researchers who are doing research, such as the videography of videography. It is one goal of this paper to stress that reflexive methodology is not a self-contained method describing and analyzing the practical methodology of one’s action. To the degree that the analysis of the “real live” method is intended to guide research, reflexive methodology has also normative implications. As these normative implications have been referred to by the label theory of science, the second goal of this presentation is to delineate the idea of empirical theory of science.",abstract_plus_keywords,3,0,1,1,empirical | qualitative | quantitative
seed:Clasificados:72,seed,Clasificados,Rethinking science as a vocation: One hundred years of bureaucratization of academic science,"One hundred years ago, in his lecture Science as a Vocation, Max Weber prefigured a transition from science as a calling to science as bureaucratically organized work. He argued that a calling for science is critical for sustaining scientific work. Using Weber's arguments for science as a vocation as a lens, in this paper, we discuss whether a calling for science may become difficult to maintain in increasingly bureaucratized scientific work—and also whether such a calling is necessary for the advance of science. We present empirical …",2022,,Tipo 5 CM ,Tipo 5 - Constructivismo moderado,tipo_5_constructivismo_moderado,directo,Approved direct legacy label for the canonical Arbor contract.,False,True,rethinking science as a vocation one hundred years of bureaucratization of academic science,,1327935ebd43427179eaa860189524325def426f4ac2e499a0d49c6350d8808d,empirico,empirico,,True,insufficient_evidence,,,False,False,"One hundred years ago, in his lecture Science as a Vocation, Max Weber prefigured a transition from science as a calling to science as bureaucratically organized work. He argued that a calling for science is critical for sustaining scientific work. Using Weber's arguments for science as a vocation as a lens, in this paper, we discuss whether a calling for science may become difficult to maintain in increasingly bureaucratized scientific work—and also whether such a calling is necessary for the advance of science. We present empirical …",abstract_plus_keywords,1,0,0,0,empirical
muestras:Muestras:12,muestras,Muestras,The modality of the textual institutionalisation of literary studies: Towards a sociology,"This paper aims to present a sociology of literary studies that is distinguished from the sociology of literature in that its focus is on literary studies as a social practice rather than as a socio-cultural institution: how literary studies is institutionalized as such not how it functions in relation to literature. The sociological analysis of literary studies in this paper entails two tasks. Firstly, it constructs a methodological frame within which literary studies can be observed and analysed in terms of the rules of discursive formation rather than as a pre-discursive entity. This is achieved through conceptualizing the Foucauldian notion of discursive formation and knowledge practice as an analytic strategy and operationalising it via Paul Dowling's Social Activity Method. Empirically, the analysis produces a description of the practice of literary studies as instantiated in the particular region of the practice constituted with what I refer to as the crisis discourse. The analysis describes literary studies as that which is emergent upon differing institutionalising strategies articulated by its participants to mark out literary studies from other practices and to maintain its disciplinarity through regulating the distribution and the access of the distribution of the discourse within and beyond the practice. The generalisability of the research in this paper lies in the applicability of the analytical method that can be employed at any given level of analysis to examine discursive practice-such as literary studies-as the effects of the particular discourses in terms of how they articulate and sustain the institutionalised identity of the practice.",2011,,Tipo 6 CF - R,Tipo 6 - Constructivismo fuerte / relativismo,tipo_6_constructivismo_fuerte_relativismo,directo,Approved direct legacy label for the canonical Arbor contract.,False,True,the modality of the textual institutionalisation of literary studies towards a sociology,,dcd560e60615348c86965632b18e49b4a54fb49a3d1611f2841b30fe0c0f614d,empirico,empirico,,True,insufficient_evidence,Cultural studies; Disciplinarity; Discursive formation; Foucault; Institutionalisation; Research methodology; Social activity method; Sociology of knowledge; Sociology of literary studies; Sociology of literature,,True,True,"This paper aims to present a sociology of literary studies that is distinguished from the sociology of literature in that its focus is on literary studies as a social practice rather than as a socio-cultural institution: how literary studies is institutionalized as such not how it functions in relation to literature. The sociological analysis of literary studies in this paper entails two tasks. Firstly, it constructs a methodological frame within which literary studies can be observed and analysed in terms of the rules of discursive formation rather than as a pre-discursive entity. This is achieved through conceptualizing the Foucauldian notion of discursive formation and knowledge practice as an analytic strategy and operationalising it via Paul Dowling's Social Activity Method. Empirically, the analysis produces a description of the practice of literary studies as instantiated in the particular region of the practice constituted with what I refer to as the crisis discourse. The analysis describes literary studies as that which is emergent upon differing institutionalising strategies articulated by its participants to mark out literary studies from other practices and to maintain its disciplinarity through regulating the distribution and the access of the distribution of the discourse within and beyond the practice. The generalisability of the research in this paper lies in the applicability of the analytical method that can be employed at any given level of analysis to examine discursive practice-such as literary studies-as the effects of the particular discourses in terms of how they articulate and sustain the institutionalised identity of the practice.

Author Keywords: Cultural studies; Disciplinarity; Discursive formation; Foucault; Institutionalisation; Research methodology; Social activity method; Sociology of knowledge; Sociology of literary studies; Sociology of literature",abstract_plus_keywords,2,1,0,0,conceptual | empirical | participants
muestras:Muestras:14,muestras,Muestras,New problems of a New Health System: the Creation of A National Public Policy of Rare Diseases Care in Brazil (1990s-2010s),"This study discusses actors and institution movements leading to the disclosure in 2014 of Resolution 199 by the Brazilian Ministry of Health, which establishes the National Policy for the Comprehensive Care of Persons with Rare Diseases. Taking as sources the mainstream newspapers, drafts law, and secondary literature on the subject, we begin our analysis in the early 1990s when the first patient associations were created in Brazil - mainly for claiming more funds for research on genetic diseases - and arrive at the late 2010s when negotiations for a national policy are taking place in the National Congress. Resolution 199 is part of an ongoing process and the path towards its disclosure and the complications that followed have given us elements to discuss contemporary aspects of the Brazilian public health. Based on the references of the history of the present time and the social studies of science, we argue that two aspects have been fundamental to creating a national policy: framing different illnesses within the terminology &#x201C;rare diseases&#x201D; and the construction of a public perception about the right of health which is guaranteed by the 1988 Brazilian Constitution.",2019,10.18294/sc.2020.2210,Tipo 5 CM,Tipo 5 - Constructivismo moderado,tipo_5_constructivismo_moderado,directo,Approved direct legacy label for the canonical Arbor contract.,False,True,new problems of a new health system the creation of a national public policy of rare diseases care in brazil 1990s 2010s,10.18294/sc.2020.2210,e7bf1bce1da29051b08ffff98d268be4317954ab3b2f72967b8084f2d3d3b709,empirico,empirico,,True,insufficient_evidence,Brazil.; Comprehensive Health Care; Health System; Public Policy; Rare Diseases,,True,True,"This study discusses actors and institution movements leading to the disclosure in 2014 of Resolution 199 by the Brazilian Ministry of Health, which establishes the National Policy for the Comprehensive Care of Persons with Rare Diseases. Taking as sources the mainstream newspapers, drafts law, and secondary literature on the subject, we begin our analysis in the early 1990s when the first patient associations were created in Brazil - mainly for claiming more funds for research on genetic diseases - and arrive at the late 2010s when negotiations for a national policy are taking place in the National Congress. Resolution 199 is part of an ongoing process and the path towards its disclosure and the complications that followed have given us elements to discuss contemporary aspects of the Brazilian public health. Based on the references of the history of the present time and the social studies of science, we argue that two aspects have been fundamental to creating a national policy: framing different illnesses within the terminology &#x201C;rare diseases&#x201D; and the construction of a public perception about the right of health which is guaranteed by the 1988 Brazilian Constitution.

Author Keywords: Brazil.; Comprehensive Health Care; Health System; Public Policy; Rare Diseases",abstract_plus_keywords,1,0,0,0,this study
