record_id,source_dataset,source_sheet,title,abstract,year,doi,label_original,label_canonica,canonical_id,mapping_status,mapping_notes,review_required,include_in_gold,title_normalized,doi_normalized,abstract_hash,methodology_label,methodology_branch,methodology_subtype,methodology_review_required,methodology_review_reason,author_keywords,index_keywords,keywords_available,keywords_applied,text_input,methodology_text_variant,methodology_empirical_score,methodology_non_empirical_score,methodology_qualitative_score,methodology_quantitative_score,methodology_signal_terms
seed:Clasificados:2,seed,Clasificados,Scientific writing as a social act: A review of the literature of the sociology of science,"This chapter reviews the literature in the sociology of science to explore what light it may shed on scientific and technical writing and to see what questions it may raise for future study. It examines the major models of scientific activity and community in order to define the role that communication takes in each. The discipline of sociology of science has done much to map out the structure of the scientific community and its activities. Even the traditional view of scientific writing, stemming from F. Bacon and fostered by the founding of the Royal …",2019,,Tipo 5 CM ,Tipo 5 - Constructivismo moderado,tipo_5_constructivismo_moderado,directo,Approved direct legacy label for the canonical Arbor contract.,False,True,scientific writing as a social act a review of the literature of the sociology of science,,535b6e7f7878c9b390dac16e535574f62f2b32557500eaa4a19439837d5d7c7c,no_empirico,no_empirico,,False,,,,False,False,"This chapter reviews the literature in the sociology of science to explore what light it may shed on scientific and technical writing and to see what questions it may raise for future study. It examines the major models of scientific activity and community in order to define the role that communication takes in each. The discipline of sociology of science has done much to map out the structure of the scientific community and its activities. Even the traditional view of scientific writing, stemming from F. Bacon and fostered by the founding of the Royal …",abstract_plus_keywords,0,1,0,0,review of the literature
seed:Clasificados:3,seed,Clasificados,"Benefits, motivations, and challenges of international collaborative research: A sociology of science case study","Contemporary science is marked by expanding and diverse forms of teamwork. Collaboration across organizational and cultural boundaries extends the possibilities of discovery. International collaborative research projects often provide findings beyond what one team could achieve alone. Motivated to maintain existing relationships and grow their scientific network, researchers increasingly collaborate, despite often unrecognized or underappreciated costs, since such projects are challenging to manage and carry out. Rarely studied in-depth and longitudinally, the perspectives of scientific team members are crucial to better understand the dynamics of durable collaboration networks. Thus, this retrospective case study of a sociology of science project applies the novel method of autoethnography to examine teamwork benefits, motivations, and challenges. Key challenges found include spatial distance and differences of culture, language, and career stage. This study, spanning North America, Europe, the Middle East, and East Asia, focused on collaborators’ characteristics and evolving perceptions of team dynamics over a decade.",2021,,Tipo 5 CM ,Tipo 5 - Constructivismo moderado,tipo_5_constructivismo_moderado,directo,Approved direct legacy label for the canonical Arbor contract.,False,True,benefits motivations and challenges of international collaborative research a sociology of science case study,,9d76f93c1ce67de1372f28d2f5d2ee6bdbc9a3d9710b2ee99823228a1a891551,empirico,empirico,cualitativo,False,,,,False,False,"Contemporary science is marked by expanding and diverse forms of teamwork. Collaboration across organizational and cultural boundaries extends the possibilities of discovery. International collaborative research projects often provide findings beyond what one team could achieve alone. Motivated to maintain existing relationships and grow their scientific network, researchers increasingly collaborate, despite often unrecognized or underappreciated costs, since such projects are challenging to manage and carry out. Rarely studied in-depth and longitudinally, the perspectives of scientific team members are crucial to better understand the dynamics of durable collaboration networks. Thus, this retrospective case study of a sociology of science project applies the novel method of autoethnography to examine teamwork benefits, motivations, and challenges. Key challenges found include spatial distance and differences of culture, language, and career stage. This study, spanning North America, Europe, the Middle East, and East Asia, focused on collaborators’ characteristics and evolving perceptions of team dynamics over a decade.",abstract_plus_keywords,6,1,3,0,autoethnograph | case study | ethnograph | perspective | this study
seed:Clasificados:4,seed,Clasificados,Organisation matters: towards an organisational sociology of science communication,"This paper looks at science communication through an organisational lens with the aim of assessing the relevance of different organisational forms for science communication.
The paper explores science communication in different organisational forms. Based on conceptual considerations and by reviewing existing empirical literature, the paper selects and compares three organisational forms of science communication: the editorial office of a daily newspaper, the press office of a university and the Science Media Centre.
The paper shows the relevance of organisation for science communication by comparing three organisational forms. The first two, the science news desk and the press office, have the character of a sub-system of an organisation, while the third, the Science Media Centre, forms its own organisation. The paper shows how the respective set-up shapes science-media contacts with a focus on the occurrence and resolution of conflicts.
The paper proposes a conceptual framework for studying science communication through an organisational lens but leaves comparative empirical studies of all types to future research. Yet, it outlines and compares implications of the formal organisation of science communication from a conceptual point of view.
The findings provide information on the structural impact of different organisational forms on science communication and point to where conflicting expectations, and thus potential conflicts, are most likely to occur in each case. A reflection of structurally conflicting expectations and how they can be overcome in specific situations is of high practical value for all science communication activities.
Organisational theorists have long argued that organisations are the key to understanding society. Despite their undoubted relevance, however, organisations and their influence on science communication have so far been much less analysed – both conceptually and empirically – than its contents, its practices and its impacts on public understanding, public policy, and on science and scientists. The paper contributes to the emerging field with conceptual considerations towards an organisational sociology of science communication.",2020,,Tipo 5 CM ,Tipo 5 - Constructivismo moderado,tipo_5_constructivismo_moderado,directo,Approved direct legacy label for the canonical Arbor contract.,False,True,organisation matters towards an organisational sociology of science communication,,8e150d973de8570cfdc9980039821aa9f81f8777e05559efa636084a7fec986e,no_empirico,no_empirico,,False,,,,False,False,"This paper looks at science communication through an organisational lens with the aim of assessing the relevance of different organisational forms for science communication.
The paper explores science communication in different organisational forms. Based on conceptual considerations and by reviewing existing empirical literature, the paper selects and compares three organisational forms of science communication: the editorial office of a daily newspaper, the press office of a university and the Science Media Centre.
The paper shows the relevance of organisation for science communication by comparing three organisational forms. The first two, the science news desk and the press office, have the character of a sub-system of an organisation, while the third, the Science Media Centre, forms its own organisation. The paper shows how the respective set-up shapes science-media contacts with a focus on the occurrence and resolution of conflicts.
The paper proposes a conceptual framework for studying science communication through an organisational lens but leaves comparative empirical studies of all types to future research. Yet, it outlines and compares implications of the formal organisation of science communication from a conceptual point of view.
The findings provide information on the structural impact of different organisational forms on science communication and point to where conflicting expectations, and thus potential conflicts, are most likely to occur in each case. A reflection of structurally conflicting expectations and how they can be overcome in specific situations is of high practical value for all science communication activities.
Organisational theorists have long argued that organisations are the key to understanding society. Despite their undoubted relevance, however, organisations and their influence on science communication have so far been much less analysed – both conceptually and empirically – than its contents, its practices and its impacts on public understanding, public policy, and on science and scientists. The paper contributes to the emerging field with conceptual considerations towards an organisational sociology of science communication.",abstract_plus_keywords,1,2,0,0,conceptual | conceptual framework | empirical
seed:Clasificados:5,seed,Clasificados,"Science education in the era of a pandemic: How can history, philosophy and sociology of science contribute to education for understanding and solving the Covid-19 …","In late February 2019, when the Covid-19 crisis began to spread across South Korea, my doctoral student Wonyong Park was there for his data collection in secondary schools. Unphased by the growing national epidemic at the time, he remarked:“As a Cambridge student, Newton once had to return home due to the plague outbreak in England, during which he made his greatest discoveries! However, as the situation develops, I promise I’ll keep healthy and make this time most useful for me.” Now, about a month later, the entire planet finds itself in the midst of a pandemic.
Among the countries worst hit by the pandemic is Italy where one of our Associate Editors, Olivia Levrini, is based. During a recent exchange, she raised the question of how history, philosophy and sociology of science (HPS) might contribute to science education in the era of a pandemic. Given the novelty of the issues generated by a major health emergency, Science & Education invites colleagues to submit papers broadly addressing the following theme:“Science Education in the Era of a Pandemic: How can History, Philosophy and Sociology of Science Contribute to Education for Understanding and Solving the Covid-19 Crisis?” Past pandemics can point to not only the development of scientific explanations in time but also the societal contexts that harboured them. Consider the stigma associated with syphilis characterised as a French or an Italian disease depending on where the disease was observed in the fifteenth century; the framing of cholera in the colonial discourse in Asia and the impact of the disease on global trade in the nineteenth century; or the mistaken causality drawn between a country and an outbreak in the case of the Spanish flu in the early twentieth century. History is replete with countless lessons about pandemics in terms of their societal, ethical as well as their scientific and medical dimensions.",2020,,Tipo 4 PE,Tipo 4 - Pragmatismo epistemologico,tipo_4_pragmatismo_epistemologico,directo,Approved direct legacy label for the canonical Arbor contract.,False,True,science education in the era of a pandemic how can history philosophy and sociology of science contribute to education for understanding and solving the covid 19,,f056871d2c9db559cead56b9a1d3326246ba8fb350f685bfe255d1e674713e6e,NN,NN,,False,,,,False,False,"In late February 2019, when the Covid-19 crisis began to spread across South Korea, my doctoral student Wonyong Park was there for his data collection in secondary schools. Unphased by the growing national epidemic at the time, he remarked:“As a Cambridge student, Newton once had to return home due to the plague outbreak in England, during which he made his greatest discoveries! However, as the situation develops, I promise I’ll keep healthy and make this time most useful for me.” Now, about a month later, the entire planet finds itself in the midst of a pandemic.
Among the countries worst hit by the pandemic is Italy where one of our Associate Editors, Olivia Levrini, is based. During a recent exchange, she raised the question of how history, philosophy and sociology of science (HPS) might contribute to science education in the era of a pandemic. Given the novelty of the issues generated by a major health emergency, Science & Education invites colleagues to submit papers broadly addressing the following theme:“Science Education in the Era of a Pandemic: How can History, Philosophy and Sociology of Science Contribute to Education for Understanding and Solving the Covid-19 Crisis?” Past pandemics can point to not only the development of scientific explanations in time but also the societal contexts that harboured them. Consider the stigma associated with syphilis characterised as a French or an Italian disease depending on where the disease was observed in the fifteenth century; the framing of cholera in the colonial discourse in Asia and the impact of the disease on global trade in the nineteenth century; or the mistaken causality drawn between a country and an outbreak in the case of the Spanish flu in the early twentieth century. History is replete with countless lessons about pandemics in terms of their societal, ethical as well as their scientific and medical dimensions.",abstract_plus_keywords,0,0,0,0,
seed:Clasificados:6,seed,Clasificados,"On methods, ontologies, and representation in the sociology of science: Where do we stand?","We are weak today in ideal matters because intelligence is divorced from aspiration. The bare force of circumstance compels us onwards in the daily detail of our beliefs and acts, but our deeper thoughts and desires turn backwards. When philosophy shall have co-operated with the course of events and made clear and coherent the meaning of the daily detail, science and emotion will interpenetrate, practice and imagination will embrace. Poetry and religious feeling will be the unforced flowers of life.",2024,,Tipo 2 RM,Tipo 2 - Realismo moderado / critico,tipo_2_realismo_moderado_critico,fusionado,Approved alias merge into canonical Type 2.,False,True,on methods ontologies and representation in the sociology of science where do we stand,,b09101667be5ba9f7f4473e2618bdc87530bbc003282e62b4a4130d49ba410ba,NN,NN,,False,,,,False,False,"We are weak today in ideal matters because intelligence is divorced from aspiration. The bare force of circumstance compels us onwards in the daily detail of our beliefs and acts, but our deeper thoughts and desires turn backwards. When philosophy shall have co-operated with the course of events and made clear and coherent the meaning of the daily detail, science and emotion will interpenetrate, practice and imagination will embrace. Poetry and religious feeling will be the unforced flowers of life.",abstract_plus_keywords,0,0,0,0,
seed:Clasificados:7,seed,Clasificados,How can governance change research content? Linking science policy studies to the sociology of science,"Although science studies routinely assume that governance can change research content, we know little about how it does that. Science policy actors, commercial interests and civil society actors utilise a variety of governance instruments and processes to change the directions or to improve the quality of research. Both can be achieved only by making researchers select different goals and approaches, that is, change the content of their work.
A recent review returned very few studies that investigated the impact of governance on research content and even fewer that convincingly established causality (Gläser and Laudel 2016). Empirical studies of competitive project funding focused on the validity and reliability of selection procedures and largely shunned the investigation of pre-emptive adaptation of project content or effects of selective funding on the dynamics of research fields (ibid: 122–125). The governance of emerging fields has been studied with the fields’ growth as the only dependent variable approximating content (ibid: 126–129). Most studies of the effects of performance-based funding limit themselves to changes in publication behaviour, whose causal ascription to performance-based funding can charitably be described as tenuous (ibid: 129–134; Gläser 2017). Finally, studies of academy–industry links have produced some interesting results on the impact of such links on the diffusion of knowledge (Evans 2010a; b) and on the increased likelihood of findings that are consistent with an industrial funder’s interests (Krimsky 2013) and on the impact of such links on the diffusion of knowledge (Evans 2010a; b). However, the empirical evidence of many studies is contradictory, which has led to a call for more in-depth studies of academy–industry links (Krimsky 2013). Most of these findings do not lend themselves to theoretical generalisation because they draw on specific cases in particular fields. More importantly, theoretical progress cannot be achieved with the current implicit division of labour between subfields of science studies. Science policy",2019,,Tipo 5 CM ,Tipo 5 - Constructivismo moderado,tipo_5_constructivismo_moderado,directo,Approved direct legacy label for the canonical Arbor contract.,False,True,how can governance change research content linking science policy studies to the sociology of science,,e9c3d5bd7ec740e082aa4dcf9975708d8f2cf62693b8005eec40499e104330d0,,,,True,conflicting_cues,,,False,False,"Although science studies routinely assume that governance can change research content, we know little about how it does that. Science policy actors, commercial interests and civil society actors utilise a variety of governance instruments and processes to change the directions or to improve the quality of research. Both can be achieved only by making researchers select different goals and approaches, that is, change the content of their work.
A recent review returned very few studies that investigated the impact of governance on research content and even fewer that convincingly established causality (Gläser and Laudel 2016). Empirical studies of competitive project funding focused on the validity and reliability of selection procedures and largely shunned the investigation of pre-emptive adaptation of project content or effects of selective funding on the dynamics of research fields (ibid: 122–125). The governance of emerging fields has been studied with the fields’ growth as the only dependent variable approximating content (ibid: 126–129). Most studies of the effects of performance-based funding limit themselves to changes in publication behaviour, whose causal ascription to performance-based funding can charitably be described as tenuous (ibid: 129–134; Gläser 2017). Finally, studies of academy–industry links have produced some interesting results on the impact of such links on the diffusion of knowledge (Evans 2010a; b) and on the increased likelihood of findings that are consistent with an industrial funder’s interests (Krimsky 2013) and on the impact of such links on the diffusion of knowledge (Evans 2010a; b). However, the empirical evidence of many studies is contradictory, which has led to a call for more in-depth studies of academy–industry links (Krimsky 2013). Most of these findings do not lend themselves to theoretical generalisation because they draw on specific cases in particular fields. More importantly, theoretical progress cannot be achieved with the current implicit division of labour between subfields of science studies. Science policy",abstract_plus_keywords,1,1,0,0,empirical | theoretical
seed:Clasificados:9,seed,Clasificados,Recoding liberalism: philosophy and sociology of science against planning,"In the wake of the global financial crisis, the resilience of contemporary neoliberalism confounded its detractors who expected its “zombie economics” and obsolete policy models to give way to new horizons of expectations. Usually, these predictions focused either on a superficial reading of the defeat of neoliberalism-qua-austerity or insisted that its systemic flaws had ruined any remnant of its legitimacy.'More skeptical authors remarked that, far from suffering from a sudden collapse, neoliberalism has never been more palpable than in times of crisis, when it reinvents itself by metabolizing the criticisms leveled at it or by entrenching its dominance over the policy debate.”",2020,,Tipo 4 PE,Tipo 4 - Pragmatismo epistemologico,tipo_4_pragmatismo_epistemologico,directo,Approved direct legacy label for the canonical Arbor contract.,False,True,recoding liberalism philosophy and sociology of science against planning,,e87829a633061a2e5ca1748fe73f52a3dff3e70acf54909b648504a1e20fa77c,NN,NN,,False,,,,False,False,"In the wake of the global financial crisis, the resilience of contemporary neoliberalism confounded its detractors who expected its “zombie economics” and obsolete policy models to give way to new horizons of expectations. Usually, these predictions focused either on a superficial reading of the defeat of neoliberalism-qua-austerity or insisted that its systemic flaws had ruined any remnant of its legitimacy.'More skeptical authors remarked that, far from suffering from a sudden collapse, neoliberalism has never been more palpable than in times of crisis, when it reinvents itself by metabolizing the criticisms leveled at it or by entrenching its dominance over the policy debate.”",abstract_plus_keywords,0,0,0,0,
seed:Clasificados:10,seed,Clasificados,"Science education in the light of COVID-19: The contribution of history, philosophy and sociology of science","In this position paper, I examine how the history, philosophy and sociology of science (HPS) can contribute to science education in the era of the COVID-19 pandemic. I discuss shortcomings in the ways that history is often used in school science, and examine how knowledge of previous pandemics might help in teaching about COVID-19. I look at the potential of issues to do with measurement in the context of COVID-19 (e.g. measurement of mortality figures) to introduce school students to issues about philosophy of science, and I show how COVID-19 has the affordance to broaden and deepen the moral philosophy that students typically meet in biology lessons. COVID-19 also provides opportunities to introduce students to sociological ways of thinking, examining data and questioning human practices. It can also enable students to see how science, economics and politics inter-relate. In the final part of the paper, I suggest that there are strong arguments in favour of an interdisciplinary approach in tackling zoonoses like COVID-19 and that there is much to be said for such interdisciplinarity in school science lessons when teaching about socio-scientific issues and issues intended to raise scientific literacy.",2020,,Tipo 4 PE,Tipo 4 - Pragmatismo epistemologico,tipo_4_pragmatismo_epistemologico,directo,Approved direct legacy label for the canonical Arbor contract.,False,True,science education in the light of covid 19 the contribution of history philosophy and sociology of science,,91896ff499e93dddd1154c645901cd159c38a5ab38103c428d05882522fb504b,NN,NN,,False,,,,False,False,"In this position paper, I examine how the history, philosophy and sociology of science (HPS) can contribute to science education in the era of the COVID-19 pandemic. I discuss shortcomings in the ways that history is often used in school science, and examine how knowledge of previous pandemics might help in teaching about COVID-19. I look at the potential of issues to do with measurement in the context of COVID-19 (e.g. measurement of mortality figures) to introduce school students to issues about philosophy of science, and I show how COVID-19 has the affordance to broaden and deepen the moral philosophy that students typically meet in biology lessons. COVID-19 also provides opportunities to introduce students to sociological ways of thinking, examining data and questioning human practices. It can also enable students to see how science, economics and politics inter-relate. In the final part of the paper, I suggest that there are strong arguments in favour of an interdisciplinary approach in tackling zoonoses like COVID-19 and that there is much to be said for such interdisciplinarity in school science lessons when teaching about socio-scientific issues and issues intended to raise scientific literacy.",abstract_plus_keywords,0,0,0,0,
seed:Clasificados:11,seed,Clasificados,"Academic Air Travel: Debates, Tensions and the Need for a Sociology of Science Perspective","Traveling to conferences is a central feature of academic life. Yet recently, academic air travel has been called into question in the context of climate change, and the digital transformation has facilitated the spread of virtual alternatives to face‐to‐face meetings. The near‐total halt in air travel associated with the COVID‐19 pandemic has solidified the use of technologies of virtual meetings. However, the return to in‐person conferences after the pandemic suggests that these are not as easily replaced by virtual alternatives as is sometimes assumed. While this is increasingly coming into focus in the behavioral sciences, the sociology of science is largely absent in this debate. As a first step toward bringing this debate into conversation with the sociology of science, this review article examines the literature on academic air travel for key tensions, current debates and politicizations. It concludes that academic conference travel is an emerging, timely and relevant, yet under‐studied area of interest for sociologists of science, and suggests some avenues for future inquiry.",2024,,Tipo 5 CM ,Tipo 5 - Constructivismo moderado,tipo_5_constructivismo_moderado,directo,Approved direct legacy label for the canonical Arbor contract.,False,True,academic air travel debates tensions and the need for a sociology of science perspective,,a979463189b1592d73ca3bed12277a4c855fbd4101c4f13ea9c553727d797998,no_empirico,no_empirico,,False,,,,False,False,"Traveling to conferences is a central feature of academic life. Yet recently, academic air travel has been called into question in the context of climate change, and the digital transformation has facilitated the spread of virtual alternatives to face‐to‐face meetings. The near‐total halt in air travel associated with the COVID‐19 pandemic has solidified the use of technologies of virtual meetings. However, the return to in‐person conferences after the pandemic suggests that these are not as easily replaced by virtual alternatives as is sometimes assumed. While this is increasingly coming into focus in the behavioral sciences, the sociology of science is largely absent in this debate. As a first step toward bringing this debate into conversation with the sociology of science, this review article examines the literature on academic air travel for key tensions, current debates and politicizations. It concludes that academic conference travel is an emerging, timely and relevant, yet under‐studied area of interest for sociologists of science, and suggests some avenues for future inquiry.",abstract_plus_keywords,0,1,0,0,perspective
seed:Clasificados:12,seed,Clasificados,"Meaning at the Planck scale? Contextualized word embeddings for doing history, philosophy, and sociology of science","This paper explores the potential of contextualized word embeddings (CWEs) as a new tool in the history, philosophy, and sociology of science (HPSS) for studying contextual and evolving meanings of scientific concepts. Using the term"" Planck"" as a test case, I evaluate five BERT-based models with varying degrees of domain-specific pretraining, including my custom model Astro-HEP-BERT, trained on the Astro-HEP Corpus, a dataset containing 21.84 million paragraphs from 600,000 articles in astrophysics and high-energy physics. For …",2024,,Tipo 3 AE,Tipo 3 - Antirrealismo epistemologico,tipo_3_antirrealismo_epistemologico,directo,Approved direct legacy label for the canonical Arbor contract.,False,True,meaning at the planck scale contextualized word embeddings for doing history philosophy and sociology of science,,24b86ed6d9f5203e46476175ac970544cfbe7bb0f8adcb9781d1bf7824fef82b,empirico,empirico,,True,insufficient_evidence,,,False,False,"This paper explores the potential of contextualized word embeddings (CWEs) as a new tool in the history, philosophy, and sociology of science (HPSS) for studying contextual and evolving meanings of scientific concepts. Using the term"" Planck"" as a test case, I evaluate five BERT-based models with varying degrees of domain-specific pretraining, including my custom model Astro-HEP-BERT, trained on the Astro-HEP Corpus, a dataset containing 21.84 million paragraphs from 600,000 articles in astrophysics and high-energy physics. For …",abstract_plus_keywords,1,0,0,0,dataset
